Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,CRSElapsedTime,Origin,Dest,Distance,ArrDelay15,Origin_Lat,Origin_Lon,Origin_State,Dest_Lat,Dest_Lon,Dest_State,Origin_dayl,Dest_dayl,Origin_prcp,Dest_prcp,Origin_srad,Dest_srad,Origin_swe,Dest_swe,Origin_tmax,Dest_tmax,Origin_tmin,Dest_tmin,Origin_vp,Dest_vp
2,25,1,1645,1755,AA,190,DFW,SAN,1171,True,32.89595056,-97.0372,TX,32.73355611,-117.1896567,CA,40089.6,40089.6,0.0,0.0,435.2,348.8,0.0,0.0,26.0,17.0,6.0,8.5,600.0,1120.0
5,12,1,1225,1410,AA,105,DFW,BNA,631,False,32.89595056,-97.0372,TX,36.12447667,-86.67818222,TN,49075.2,49766.4,0.0,0.0,528.0,393.6,0.0,0.0,25.5,18.5,9.5,8.0,1200.0,1080.0
1,8,2,915,1225,MQ,130,DFW,LEX,785,False,32.89595056,-97.0372,TX,38.03697222,-84.60538889,KY,35942.4,34214.4,0.0,0.0,313.6,192.0,0.0,0.0,23.0,20.0,5.5,11.5,920.0,1360.0
8,22,5,2120,2215,AA,55,DFW,OKC,175,True,32.89595056,-97.0372,TX,35.39308833,-97.60073389,OK,46656.0,47001.6,0.0,0.0,384.0,380.8,0.0,0.0,34.5,32.0,23.5,21.0,2640.0,2480.0
12,15,1,1615,1725,MQ,70,DFW,LIT,304,False,32.89595056,-97.0372,TX,34.72939611,-92.22424556,AR,35251.2,34905.6,0.0,11.0,278.4,227.2,0.0,0.0,10.5,17.5,-4.0,-1.5,440.0,560.0
10,22,3,830,935,MQ,65,DFW,LIT,304,False,32.89595056,-97.0372,TX,34.72939611,-92.22424556,AR,39398.4,39052.8,0.0,0.0,352.0,326.4,0.0,0.0,26.0,24.0,11.5,10.5,1360.0,1280.0
11,18,2,2210,2320,AA,190,DFW,SAN,1171,False,32.89595056,-97.0372,TX,32.73355611,-117.1896567,CA,36633.6,36633.6,0.0,0.0,278.4,339.2,0.0,0.0,19.5,28.0,6.0,12.5,920.0,520.0
10,3,5,1520,1834,OH,134,DFW,CVG,812,False,32.89595056,-97.0372,TX,39.04614278,-84.6621725,KY,41472.0,41126.4,0.0,0.0,406.4,361.6,0.0,0.0,32.0,20.5,16.5,6.5,1680.0,960.0
1,17,4,1430,1559,MQ,89,DFW,MLU,293,False,32.89595056,-97.0372,TX,32.51086556,-92.03768778,LA,36288.0,36288.0,0.0,4.0,278.4,86.4,0.0,0.0,7.5,8.5,-4.0,4.5,440.0,840.0
7,16,3,2125,2230,AA,185,DFW,LAX,1235,True,32.89595056,-97.0372,TX,33.94253611,-118.4080744,CA,50112.0,50457.6,6.0,0.0,300.8,444.8,0.0,0.0,35.0,26.5,23.0,18.5,2720.0,800.0
8,1,5,1810,2155,AA,165,DFW,PBI,1103,True,32.89595056,-97.0372,TX,26.68316194,-80.09559417,FL,49075.2,47692.8,0.0,15.0,412.8,310.4,0.0,0.0,39.0,33.0,26.5,24.5,2600.0,3080.0
10,21,2,1750,1850,AA,60,DFW,SAT,247,False,32.89595056,-97.0372,TX,29.53369444,-98.46977778,TX,39398.4,39744.0,0.0,0.0,342.4,371.2,0.0,0.0,27.5,28.5,13.5,12.5,1560.0,1440.0
1,31,4,820,925,AA,65,DFW,SAT,247,True,32.89595056,-97.0372,TX,29.53369444,-98.46977778,TX,37324.8,38016.0,0.0,0.0,316.8,384.0,0.0,0.0,11.5,16.5,-1.0,1.0,560.0,240.0
10,19,7,1930,2255,MQ,145,DFW,GRR,931,False,32.89595056,-97.0372,TX,42.88081972,-85.52276778,MI,39744.0,38016.0,0.0,0.0,361.6,278.4,0.0,0.0,25.5,15.0,11.0,2.0,1320.0,720.0
9,28,7,720,1035,MQ,135,DFW,CVG,812,False,32.89595056,-97.0372,TX,39.04614278,-84.6621725,KY,42163.2,41817.6,0.0,0.0,428.8,329.6,0.0,0.0,31.0,25.5,16.0,13.0,1560.0,1480.0
4,16,3,855,1255,AA,180,DFW,BWI,1217,False,32.89595056,-97.0372,TX,39.17540167,-76.66819833,MD,46310.4,47347.2,0.0,0.0,438.4,505.6,0.0,0.0,24.0,17.5,11.5,3.5,1360.0,800.0
8,14,4,2050,5,AA,135,DFW,JAX,919,False,32.89595056,-97.0372,TX,30.49405556,-81.68786111,FL,47692.8,47347.2,0.0,16.0,489.6,217.6,0.0,0.0,36.5,29.0,22.0,23.0,1200.0,2800.0
1,14,1,1010,1130,MQ,80,DFW,BTR,383,False,32.89595056,-97.0372,TX,30.53316083,-91.14963444,LA,36288.0,36633.6,0.0,0.0,336.0,361.6,0.0,0.0,17.5,17.0,-0.5,0.0,600.0,600.0
4,20,7,930,1230,DL,120,DFW,ATL,732,False,32.89595056,-97.0372,TX,33.64044444,-84.42694444,GA,47001.6,47001.6,0.0,0.0,432.0,489.6,0.0,0.0,26.0,23.0,13.5,8.5,1560.0,1120.0
5,7,3,1243,1502,UA,139,DFW,ORD,802,True,32.89595056,-97.0372,TX,41.979595,-87.90446417,IL,48729.6,50803.2,8.0,0.0,297.6,473.6,0.0,0.0,28.5,24.5,17.5,10.5,2000.0,1280.0
2,29,5,1325,1650,AA,145,DFW,RSW,1017,False,32.89595056,-97.0372,TX,26.53616667,-81.75516667,FL,40435.2,41126.4,0.0,0.0,352.0,483.2,0.0,0.0,23.0,23.0,10.0,6.5,880.0,840.0
3,11,2,750,940,AA,230,DFW,SJC,1438,False,32.89595056,-97.0372,TX,37.36186194,-121.9290089,CA,41817.6,41817.6,0.0,0.0,428.8,374.4,0.0,0.0,20.0,20.0,4.5,7.5,800.0,1040.0
6,19,4,1920,2045,AA,205,DFW,SJC,1438,True,32.89595056,-97.0372,TX,37.36186194,-121.9290089,CA,51148.8,52531.2,5.0,0.0,326.4,566.4,0.0,0.0,33.0,35.0,21.5,15.0,2560.0,640.0
7,16,3,2045,2130,AA,165,DFW,LAS,1055,False,32.89595056,-97.0372,TX,36.08036111,-115.1523333,NV,50112.0,51148.8,6.0,0.0,300.8,425.6,0.0,0.0,35.0,39.5,23.0,26.5,2720.0,1360.0
11,16,7,1425,1800,MQ,155,DFW,PIT,1068,False,32.89595056,-97.0372,TX,40.49146583,-80.23287083,PA,36633.6,34560.0,0.0,5.0,332.8,150.4,0.0,0.0,18.5,9.5,1.0,0.5,640.0,640.0
11,11,2,1305,1635,MQ,150,DFW,CHS,987,False,32.89595056,-97.0372,TX,32.89864639,-80.04050583,SC,37324.8,37324.8,69.0,0.0,160.0,320.0,0.0,0.0,22.5,19.5,13.5,5.5,1560.0,920.0
2,22,5,1225,1400,AA,155,DFW,PHX,868,True,32.89595056,-97.0372,TX,33.43416667,-112.0080556,AZ,39744.0,39744.0,0.0,1.0,272.0,188.8,0.0,0.0,9.5,15.5,0.5,9.5,640.0,1200.0
10,7,2,2040,2355,AA,135,DFW,CMH,927,False,32.89595056,-97.0372,TX,39.99798528,-82.89188278,OH,41126.4,40435.2,0.0,0.0,332.8,355.2,0.0,0.0,26.0,23.0,15.0,7.5,1720.0,1040.0
3,30,7,1645,1755,CO,70,DFW,IAH,224,True,32.89595056,-97.0372,TX,29.98047222,-95.33972222,TX,44236.8,44236.8,0.0,0.0,409.6,259.2,0.0,0.0,28.5,27.5,15.0,20.5,1720.0,2400.0
4,29,2,1655,2015,AA,140,DFW,TPA,929,False,32.89595056,-97.0372,TX,27.97547222,-82.53325,FL,47692.8,47001.6,0.0,2.0,540.8,361.6,0.0,0.0,27.0,26.0,9.0,18.0,1160.0,2080.0
2,17,7,2105,2235,AA,90,DFW,MFE,468,False,32.89595056,-97.0372,TX,26.17583333,-98.23861111,TX,39052.8,40089.6,0.0,0.0,281.6,483.2,0.0,0.0,12.5,31.0,3.0,11.0,720.0,480.0
12,23,2,2125,2225,AA,120,DFW,DEN,641,False,32.89595056,-97.0372,TX,39.85840806,-104.6670019,CO,35251.2,33177.6,0.0,0.0,208.0,176.0,0.0,4.0,7.5,-3.0,-1.5,-12.5,560.0,240.0
12,6,6,1130,1235,AA,125,DFW,DEN,641,False,32.89595056,-97.0372,TX,39.85840806,-104.6670019,CO,35596.8,33177.6,0.0,0.0,304.0,281.6,0.0,0.0,14.0,11.0,-2.0,-9.0,520.0,320.0
7,22,2,740,829,US,169,DFW,LAS,1055,False,32.89595056,-97.0372,TX,36.08036111,-115.1523333,NV,49766.4,50457.6,0.0,0.0,406.4,451.2,0.0,0.0,38.0,40.5,25.5,26.5,2720.0,1360.0
2,19,2,1840,1945,AA,125,DFW,DEN,641,False,32.89595056,-97.0372,TX,39.85840806,-104.6670019,CO,39398.4,38361.6,0.0,0.0,393.6,416.0,0.0,0.0,17.5,13.5,2.0,-5.5,560.0,120.0
4,10,4,1000,1055,MQ,55,DFW,SHV,190,False,32.89595056,-97.0372,TX,32.4466275,-93.82559833,LA,45619.2,45619.2,21.0,3.0,310.4,249.6,0.0,0.0,27.5,27.5,15.0,18.0,1720.0,2080.0
1,12,6,2100,2200,MQ,60,DFW,FSM,228,False,32.89595056,-97.0372,TX,35.33659028,-94.36744111,AR,35942.4,35251.2,0.0,0.0,278.4,243.2,0.0,0.0,15.0,9.5,2.5,-1.5,720.0,560.0
9,8,1,915,1125,AA,130,DFW,ORD,802,True,32.89595056,-97.0372,TX,41.979595,-87.90446417,IL,44582.4,45273.6,0.0,0.0,406.4,368.0,0.0,0.0,32.5,21.5,21.0,11.5,2000.0,1360.0
2,22,5,1145,1240,AA,55,DFW,OKC,175,False,32.89595056,-97.0372,TX,35.39308833,-97.60073389,OK,39744.0,39398.4,0.0,0.0,272.0,198.4,0.0,0.0,9.5,2.5,0.5,-4.0,640.0,440.0
8,5,2,1900,2005,AA,185,DFW,LAX,1235,True,32.89595056,-97.0372,TX,33.94253611,-118.4080744,CA,48384.0,48729.6,0.0,0.0,432.0,476.8,0.0,0.0,38.5,27.0,25.5,19.0,2240.0,840.0
5,9,5,1720,1825,AA,65,DFW,TUL,237,True,32.89595056,-97.0372,TX,36.19837222,-95.88824167,OK,48729.6,49766.4,0.0,0.0,412.8,371.2,0.0,0.0,29.5,25.0,18.0,15.0,2080.0,1720.0
10,20,1,1115,1225,AA,190,DFW,SNA,1205,False,32.89595056,-97.0372,TX,33.67565861,-117.8682225,CA,39398.4,39398.4,0.0,0.0,352.0,262.4,0.0,0.0,28.0,21.5,13.5,14.0,1560.0,600.0
9,20,6,1420,1445,AA,145,DFW,PHX,868,False,32.89595056,-97.0372,TX,33.43416667,-112.0080556,AZ,43200.0,43200.0,0.0,0.0,460.8,352.0,0.0,0.0,29.5,38.0,14.5,24.0,1440.0,2840.0
9,10,3,1150,1350,MQ,120,DFW,CID,685,False,32.89595056,-97.0372,TX,41.88458833,-91.71087222,IA,44236.8,44928.0,22.0,0.0,140.8,425.6,0.0,0.0,26.5,21.0,22.0,6.5,2640.0,960.0
10,20,1,1850,2320,AA,210,DFW,BOS,1562,False,32.89595056,-97.0372,TX,42.3643475,-71.00517917,MA,39398.4,38016.0,0.0,0.0,352.0,278.4,0.0,0.0,28.0,12.0,13.5,2.0,1560.0,720.0
1,18,5,2010,2115,AA,185,DFW,SAN,1171,False,32.89595056,-97.0372,TX,32.73355611,-117.1896567,CA,36288.0,36288.0,0.0,0.0,224.0,336.0,0.0,0.0,5.0,17.5,-3.5,5.0,480.0,880.0
6,25,3,1845,2000,MQ,75,DFW,SGF,364,True,32.89595056,-97.0372,TX,37.24432611,-93.38685806,MO,51148.8,52531.2,0.0,0.0,425.6,422.4,0.0,0.0,36.0,30.5,24.0,20.0,2800.0,2320.0
9,4,4,1245,1340,AA,55,DFW,AUS,190,False,32.89595056,-97.0372,TX,30.19453278,-97.66987194,TX,45273.6,44928.0,0.0,0.0,419.2,464.0,0.0,0.0,29.0,34.5,18.0,20.0,1680.0,1560.0
4,27,7,825,925,AA,180,DFW,SAN,1171,False,32.89595056,-97.0372,TX,32.73355611,-117.1896567,CA,47692.8,47692.8,4.0,0.0,297.6,592.0,0.0,0.0,19.5,33.0,9.5,17.0,1200.0,720.0
1,29,2,2055,2215,AA,200,DFW,LAX,1235,True,32.89595056,-97.0372,TX,33.94253611,-118.4080744,CA,37324.8,36979.2,0.0,0.0,352.0,281.6,0.0,0.0,20.0,15.5,3.0,7.0,760.0,1000.0
9,23,2,1635,1835,MQ,120,DFW,CID,685,False,32.89595056,-97.0372,TX,41.88458833,-91.71087222,IA,42854.4,42508.8,0.0,0.0,396.8,323.2,0.0,0.0,31.5,26.5,19.0,15.0,2000.0,1720.0
8,26,2,1905,2010,AA,65,DFW,SAT,247,False,32.89595056,-97.0372,TX,29.53369444,-98.46977778,TX,46310.4,45964.8,0.0,0.0,396.8,403.2,0.0,0.0,34.0,34.0,22.5,22.5,2440.0,2720.0
7,16,3,1225,1445,AA,140,DFW,ORD,802,False,32.89595056,-97.0372,TX,41.979595,-87.90446417,IL,50112.0,52876.8,6.0,0.0,300.8,400.0,0.0,0.0,35.0,32.0,23.0,20.5,2720.0,2400.0
5,7,3,930,1305,AA,155,DFW,RDU,1062,False,32.89595056,-97.0372,TX,35.87763889,-78.78747222,NC,48729.6,49420.8,8.0,0.0,297.6,486.4,0.0,0.0,28.5,26.5,17.5,11.0,2000.0,1320.0
10,21,2,955,1100,AA,65,DFW,SAT,247,False,32.89595056,-97.0372,TX,29.53369444,-98.46977778,TX,39398.4,39744.0,0.0,0.0,342.4,371.2,0.0,0.0,27.5,28.5,13.5,12.5,1560.0,1440.0
6,13,5,1020,1225,AA,245,DFW,SEA,1660,True,32.89595056,-97.0372,TX,47.44898194,-122.3093131,WA,50803.2,56678.4,0.0,0.0,393.6,390.4,0.0,0.0,35.5,16.5,24.5,9.0,3080.0,1160.0
10,7,2,1600,1655,MQ,55,DFW,SHV,190,False,32.89595056,-97.0372,TX,32.4466275,-93.82559833,LA,41126.4,41126.4,0.0,5.0,332.8,272.0,0.0,0.0,26.0,28.5,15.0,16.0,1720.0,1800.0
7,20,7,2045,2130,AA,165,DFW,LAS,1055,False,32.89595056,-97.0372,TX,36.08036111,-115.1523333,NV,49766.4,50803.2,0.0,0.0,412.8,352.0,0.0,0.0,37.0,36.5,24.5,26.5,2560.0,1360.0
11,22,6,1240,1555,MQ,135,DFW,SAV,925,False,32.89595056,-97.0372,TX,32.12758333,-81.20213889,GA,36288.0,36633.6,0.0,0.0,236.8,307.2,0.0,0.0,12.5,10.5,2.0,-2.5,720.0,520.0
11,9,7,2100,2210,AA,70,DFW,SAT,247,False,32.89595056,-97.0372,TX,29.53369444,-98.46977778,TX,37324.8,38016.0,0.0,0.0,336.0,384.0,0.0,0.0,22.5,26.5,6.0,6.0,920.0,920.0
